 ! Model parameters: Teff:
    2411.000
 !
 ! Number of atmosphere layers:
  53

#Layer,Longitude,Latitude,P(bar),T(K),U(m/s),V(m/s),W(Pa/s),W(m/s)

29,-180,45,0.040686,713.33,-999.22,-134.69,-0.016087,0.055136
30,-180,45,0.057595,742.32,-854.89,-147.69,-0.021424,0.053979
31,-180,45,0.081532,777.78,-705.01,-157.52,-0.0050844,0.0094818
32,-180,45,0.11542,820.65,-572.57,-182.2,0.012145,-0.016882
33,-180,45,0.16339,870.07,-508.26,-196.4,0.033226,-0.03459
34,-180,45,0.23129,925.62,-459.17,-209.76,0.068829,-0.053848
35,-180,45,0.32742,988.11,-425.29,-215.9,0.086032,-0.050756
36,-180,45,0.4635,1056.2,-409.3,-217.85,0.13329,-0.059376
37,-180,45,0.65613,1128.3,-394.84,-197.47,0.19036,-0.063993
38,-180,45,0.92882,1204,-374.13,-183.77,0.2865,-0.072602
39,-180,45,1.3148,1281,-355.93,-168.45,0.40466,-0.077069
40,-180,45,1.8613,1359.5,-325.47,-151.93,0.6035,-0.086173
41,-180,45,2.6349,1441.2,-293.64,-143.42,0.99301,-0.10618
42,-180,45,3.73,1524,-269.32,-136.94,1.1979,-0.095676
43,-180,45,5.2802,1608.4,-253.04,-116.31,1.2734,-0.075831
44,-180,45,7.4747,1691.9,-240.03,-94.32,1.4819,-0.065571
45,-180,45,10.581,1765.2,-240.81,-70.047,1.5759,-0.051396
46,-180,45,14.979,1820.8,-256.5,-44.212,1.7134,-0.040716
47,-180,45,21.204,1859.5,-279.84,-24.464,1.9224,-0.032956
48,-180,45,30.017,1904.2,-308.35,-12.029,1.7051,-0.021146
49,-180,45,42.492,2011.1,-327.95,-5.7725,1.2904,-0.011939
50,-180,45,60.152,2194.3,-336.16,-4.596,0.69836,-0.0049802
51,-180,45,85.152,2418,-341.62,-3.1989,0.096102,-0.00053349
52,-180,45,120.54,2668.3,-343.82,-3.0761,-0.18328,0.0007931
53,-180,45,170.64,2945,-344.54,-0.63724,0.067639,-0.00022821
 
1,-135,0,2.4156e-06,619.89,7757.6,-71.738,6.5539e-06,-0.32878
2,-135,0,3.4196e-06,626.07,6975.5,-27.236,2.029e-05,-0.72621
3,-135,0,4.8408e-06,629.23,8176.3,-98.854,4.0329e-05,-1.0248
4,-135,0,6.8526e-06,633.57,7215.3,-38.162,7.5933e-05,-1.3724
5,-135,0,9.7006e-06,638.36,8628.3,-94.725,0.00011433,-1.4708
6,-135,0,1.3732e-05,643.27,7749.7,-66.885,0.00018114,-1.6587
7,-135,0,1.944e-05,649.57,9162.9,-109.64,0.00024471,-1.5985
8,-135,0,2.7519e-05,656.39,8719.5,-103.06,0.00037713,-1.7585
9,-135,0,3.8956e-05,665.51,9808.2,-122.13,0.00049859,-1.6651
10,-135,0,5.5146e-05,674.84,10010,-136.45,0.00065775,-1.5735
