 ! Model parameters: Teff:
    2411.000
 !
 ! Number of atmosphere layers:
  53

#Layer,Longitude,Latitude,P(bar),T(K),U(m/s),V(m/s),W(Pa/s),W(m/s)

35,-45,0,0.32742,2640.6,9015.3,-76.32,2.6505,-4.1788
36,-45,0,0.4635,2530.8,9050.2,-67.899,3.5283,-3.7661
37,-45,0,0.65613,2398.9,8990,-61.432,4.5118,-3.2247
38,-45,0,0.92882,2269.4,8842.6,-56.502,5.477,-2.6161
39,-45,0,1.3148,2177.1,8598.4,-53.074,6.0531,-1.9593
40,-45,0,1.8613,2137.2,8265.9,-47.935,5.9315,-1.3314
41,-45,0,2.6349,2156.2,7851,-43.003,4.7205,-0.75516
42,-45,0,3.73,2246.5,7402.8,-41.206,1.0774,-0.12685
43,-45,0,5.2802,2382.4,6939.7,-36.766,-5.5975,0.49373
44,-45,0,7.4747,2474.9,6299.2,-25.464,-12.292,0.79564
45,-45,0,10.581,2519.1,5375.1,-6.2127,-12.786,0.59508
46,-45,0,14.979,2577.3,4449.7,14.046,-3.4892,0.11736
47,-45,0,21.204,2672.4,3756.9,27.284,10.408,-0.25643
48,-45,0,30.017,2770.4,3161.6,31.859,20.002,-0.36089
49,-45,0,42.492,2852.1,2588.9,19.191,14.631,-0.19197
50,-45,0,60.152,2858.5,1813,-2.4809,-10.866,0.10094
51,-45,0,85.152,2748.7,545.12,-23.711,5.7414,-0.036231
52,-45,0,120.54,2767.6,-212.6,-7.2723,0.29023,-0.0013026
53,-45,0,170.64,2965,-624.82,5.4044,-0.0035177,1.1949e-05
 
1,-45,45,2.4156e-06,2809.3,-1541.3,5493.7,-4.3373e-06,0.98609
2,-45,45,3.4196e-06,2837.6,-1598.6,5542.7,-1.0278e-05,1.6674
3,-45,45,4.8408e-06,2860.2,-1370.9,5458.7,-1.8101e-05,2.0907
4,-45,45,6.8526e-06,2888.3,-1263.1,5426.2,-2.8885e-05,2.38
5,-45,45,9.7006e-06,2919,-1064.8,5354.6,-4.403e-05,2.5901
6,-45,45,1.3732e-05,2948.2,-919.4,5299,-6.5511e-05,2.7494
7,-45,45,1.944e-05,2986.7,-720.4,5220.1,-9.5474e-05,2.8676
8,-45,45,2.7519e-05,3021.4,-576.53,5153.1,-0.00013709,2.9424
9,-45,45,3.8956e-05,3053.2,-409.64,5067.4,-0.00019787,3.0317
10,-45,45,5.5146e-05,3088.1,-292.76,4993.3,-0.00028911,3.1648
11,-45,45,7.8066e-05,3130.6,-166.94,4904.5,-0.000425,3.3317
12,-45,45,0.00011051,3174.6,-81.981,4822.8,-0.00062464,3.5078
13,-45,45,0.00015644,3228.4,-8.082,4730.4,-0.00092274,3.7226
14,-45,45,0.00022146,3280.9,27.129,4647.3,-0.0013638,3.9499
15,-45,45,0.0003135,3329.5,38.451,4562,-0.002018,4.1897
16,-45,45,0.00044379,3376.2,18.982,4479.2,-0.0029958,4.4554
17,-45,45,0.00062823,3417,-27.928,4395.5,-0.004454,4.7359
18,-45,45,0.00088933,3451.6,-102.44,4316.6,-0.0066094,5.0146
19,-45,45,0.0012589,3480.4,-190.94,4240.8,-0.0097414,5.2646
20,-45,45,0.0017822,3502.6,-278.66,4170.7,-0.014184,5.4497
21,-45,45,0.0025229,3518.9,-349.84,4097.4,-0.020305,5.5364
22,-45,45,0.0035714,3520.9,-392.28,4007.1,-0.028493,5.4913
23,-45,45,0.0050557,3512,-401.72,3882.1,-0.039188,5.3217
24,-45,45,0.0071569,3486.2,-380.54,3709.5,-0.052969,5.044
25,-45,45,0.010131,3425.2,-334.48,3488.8,-0.070821,4.6805
26,-45,45,0.014342,3277.2,-274.82,3231.1,-0.094059,4.2015
27,-45,45,0.020303,3144.4,-228.96,2950.7,-0.12378,3.7475
28,-45,45,0.028741,3040.9,-214.68,2637,-0.16101,3.3302
29,-45,45,0.040686,2933.7,-244.17,2281.8,-0.20931,2.9505
30,-45,45,0.057595,2833.9,-338.9,1930.7,-0.27946,2.6881
31,-45,45,0.081532,2746.4,-493.3,1633.5,-0.38888,2.5608
32,-45,45,0.11542,2673.5,-677.79,1415.1,-0.56962,2.5794
33,-45,45,0.16339,2610.3,-835.36,1273.4,-0.84129,2.6275
34,-45,45,0.23129,2553.6,-934.67,1167,-1.2151,2.6225
35,-45,45,0.32742,2500.7,-973.17,1047.4,-1.6841,2.5145
36,-45,45,0.4635,2444.7,-980.07,904.68,-2.2564,2.3266
37,-45,45,0.65613,2378,-947.54,742.87,-2.9121,2.0633
38,-45,45,0.92882,2293.6,-883.78,577.57,-3.6198,1.7474
39,-45,45,1.3148,2178.3,-758.37,409.15,-4.2237,1.3679
40,-45,45,1.8613,2024.3,-609.17,262.94,-4.664,0.99158
41,-45,45,2.6349,1855.7,-455.05,159.33,-4.8346,0.66562
42,-45,45,3.73,1718.1,-338.1,97.897,-4.8097,0.43309
43,-45,45,5.2802,1639.9,-281.81,66.421,-4.7053,0.28568
44,-45,45,7.4747,1612.7,-271.74,46.761,-4.5385,0.19142
45,-45,45,10.581,1622.2,-284.91,30.752,-4.3971,0.13178
46,-45,45,14.979,1658.4,-303.9,17.828,-4.1794,0.090458
47,-45,45,21.204,1722.3,-318.17,10.142,-3.8479,0.061098
48,-45,45,30.017,1830.8,-329.14,5.6,-3.6259,0.043233
49,-45,45,42.492,1989.8,-338.68,3.1665,-3.5263,0.03228
50,-45,45,60.152,2188.4,-344.07,1.7691,-3.7654,0.02678
51,-45,45,85.152,2416,-346.95,3.1259,-3.4042,0.018881
52,-45,45,120.54,2667.5,-349.41,3.2204,-3.9416,0.017051
53,-45,45,170.64,2945,-347.38,4.5813,-0.81748,0.0027581
 
1,0,0,2.4156e-06,2813.3,45.542,34.078,-1.804e-05,4.1073
2,0,0,3.4196e-06,2837.1,7.2817,36.1,-4.4856e-05,7.2752
3,0,0,4.8408e-06,2859,109.1,35.945,-8.3497e-05,9.6404
4,0,0,6.8526e-06,2885.4,246.36,36.676,-0.00013822,11.378
5,0,0,9.7006e-06,2915.7,392.69,37.046,-0.00021505,12.636
6,0,0,1.3732e-05,2944.1,551.58,37.446,-0.00032261,13.521
7,0,0,1.944e-05,2983.1,718.26,38.73,-0.0004729,14.186
8,0,0,2.7519e-05,3018.3,891.5,39.809,-0.0006825,14.634
9,0,0,3.8956e-05,3050.3,1072,41.28,-0.00097481,14.922
10,0,0,5.5146e-05,3086.3,1263.2,42.918,-0.0013806,15.105
11,0,0,7.8066e-05,3129.6,1460.5,44.455,-0.0019427,15.224
12,0,0,0.00011051,3175.3,1666.1,45.979,-0.0027211,15.284
13,0,0,0.00015644,3230.5,1882.5,47.347,-0.0037976,15.33
14,0,0,0.00022146,3284,2108.7,48.723,-0.0052848,15.32
15,0,0,0.0003135,3334.2,2346.9,50.032,-0.0073381,15.257
16,0,0,0.00044379,3383,2593.7,51.371,-0.010168,15.152
17,0,0,0.00062823,3426.9,2852.8,52.691,-0.014066,14.999
18,0,0,0.00088933,3467.3,3124.9,53.889,-0.019453,14.826
19,0,0,0.0012589,3502.9,3412.8,54.702,-0.0269,14.632
20,0,0,0.0017822,3533,3719.7,55.025,-0.037179,14.409
21,0,0,0.0025229,3559.2,4043.8,54.56,-0.051259,14.137
22,0,0,0.0035714,3576.1,4379.1,52.836,-0.070361,13.773
23,0,0,0.0050557,3583.4,4727.5,49.657,-0.095943,13.294
24,0,0,0.0071569,3583.4,5093.9,45.475,-0.1298,12.705
25,0,0,0.010131,3568.6,5469.9,41.736,-0.17363,11.955
26,0,0,0.014342,3545.3,5846,37.742,-0.22892,11.063
27,0,0,0.020303,3486.1,6216.6,32.268,-0.29675,9.9611
28,0,0,0.028741,3387.9,6570.9,23.777,-0.37706,8.6889
29,0,0,0.040686,3329.2,6880.8,20.129,-0.4688,7.4991
30,0,0,0.057595,3306.1,7187.3,22.204,-0.56426,6.3318
31,0,0,0.081532,3282.7,7459.7,14.15,-0.65846,5.1827
32,0,0,0.11542,3253.9,7720.9,15.59,-0.74009,4.0788
33,0,0,0.16339,3219.8,8002.7,13.048,-0.79589,3.0662
34,0,0,0.23129,3187,8262.5,14.778,-0.81199,2.1873
35,0,0,0.32742,3154.6,8454.8,12.502,-0.7726,1.4552
36,0,0,0.4635,3109.6,8558.3,10.596,-0.63566,0.8337
37,0,0,0.65613,3035.6,8578.5,7.2507,-0.32432,0.29333
38,0,0,0.92882,2921.6,8533,3.3145,0.24817,-0.1526
39,0,0,1.3148,2766.2,8415.7,-2.1716,1.1219,-0.46141
40,0,0,1.8613,2579.8,8193,-6.6056,2.328,-0.63079
41,0,0,2.6349,2411.4,7843.4,-10.097,3.5334,-0.63216
42,0,0,3.73,2334.1,7407.4,-12.996,3.9871,-0.48773
43,0,0,5.2802,2366.5,6871.8,-10.986,4.1128,-0.36034
44,0,0,7.4747,2435.2,6144.9,-2.4327,7.4107,-0.47197
45,0,0,10.581,2506.3,5255.2,9.8322,16.382,-0.75854
46,0,0,14.979,2603.9,4473.6,17.148,25.173,-0.85547
47,0,0,21.204,2724.1,3896.9,11.016,22.314,-0.5604
48,0,0,30.017,2839.5,3370.4,-10.822,5.1636,-0.095489
49,0,0,42.492,2874.8,2679.4,-29.059,-19.839,0.26238
50,0,0,60.152,2808.3,1703.9,-31.28,8.2519,-0.075312
51,0,0,85.152,2750.3,401.34,8.0413,1.8815,-0.01188
52,0,0,120.54,2768.3,-299.61,-8.4089,-3.3269,0.014936
53,0,0,170.64,2964.1,-617.06,7.7416,0.038101,-0.00012938
 
1,0,45,2.4156e-06,2813.2,1984,3928.9,-1.2158e-06,0.2768
2,0,45,3.4196e-06,2843,2033.1,3922.3,-3.2145e-06,0.52244
3,0,45,4.8408e-06,2865.6,2164.4,3780.6,-5.0391e-06,0.58314
4,0,45,6.8526e-06,2894.8,2237,3708.6,-7.3328e-06,0.60555
5,0,45,9.7006e-06,2925.4,2352.2,3582.8,-9.5156e-06,0.56098
6,0,45,1.3732e-05,2956.8,2431.5,3488.3,-1.1245e-05,0.47334
7,0,45,1.944e-05,2994.2,2541,3348.5,-1.0002e-05,0.30116
8,0,45,2.7519e-05,3029,2625.8,3229.1,-5.8203e-06,0.12524
9,0,45,3.8956e-05,3062,2743.6,3059,9.9251e-06,-0.1525
10,0,45,5.5146e-05,3098.8,2841,2903.6,3.9788e-05,-0.43707
11,0,45,7.8066e-05,3142.3,2948.7,2721.7,9.6105e-05,-0.75623
12,0,45,0.00011051,3190.5,3037.8,2546.5,0.00018558,-1.0474
13,0,45,0.00015644,3244.8,3117.6,2362.3,0.00033306,-1.3505
14,0,45,0.00022146,3299.1,3172.2,2196.8,0.0005584,-1.6262
15,0,45,0.0003135,3351.5,3206.6,2037.6,0.00089191,-1.864
16,0,45,0.00044379,3401.7,3214.8,1898.6,0.0013736,-2.0582
17,0,45,0.00062823,3445.9,3196.2,1785.7,0.0020251,-2.1714
18,0,45,0.00088933,3484.5,3154.3,1704,0.002867,-2.1959
19,0,45,0.0012589,3515.7,3091.8,1660.5,0.0038848,-2.1207
20,0,45,0.0017822,3540.3,3012.6,1647.3,0.0050325,-1.9543
21,0,45,0.0025229,3560.8,2919.2,1652.7,0.0063204,-1.7439
22,0,45,0.0035714,3570.4,2819.6,1677.2,0.0077331,-1.5113
23,0,45,0.0050557,3570.3,2722,1692.5,0.0094654,-1.3067
24,0,45,0.0071569,3557.7,2624.3,1673.2,0.012014,-1.1675
25,0,45,0.010131,3538.1,2518.5,1600.5,0.016291,-1.1122
26,0,45,0.014342,3481.4,2396.4,1468.1,0.023799,-1.1294
27,0,45,0.020303,3361.8,2251.6,1281.6,0.037752,-1.222
28,0,45,0.028741,3260,2088.6,1083.9,0.063726,-1.4131
29,0,45,0.040686,3201.6,1891.5,879.46,0.10777,-1.6579
30,0,45,0.057595,3143.1,1604.9,668.32,0.15923,-1.6987
31,0,45,0.081532,3075.4,1219.4,510.15,0.1807,-1.3325
32,0,45,0.11542,3010.9,809.13,456.89,0.12588,-0.64193
33,0,45,0.16339,2957.8,453.07,490.67,-0.030554,0.10813
34,0,45,0.23129,2916.7,202.33,577.27,-0.27236,0.67143
35,0,45,0.32742,2884.4,47.71,638.41,-0.53678,0.92443
36,0,45,0.4635,2853.4,-91.047,632.97,-0.8052,0.96903
37,0,45,0.65613,2814.8,-259.94,594.29,-1.1681,0.97962
38,0,45,0.92882,2758.5,-437.74,566.02,-1.7105,0.9931
39,0,45,1.3148,2672.4,-591.09,546.62,-2.4509,0.97384
40,0,45,1.8613,2541,-703.07,518.93,-3.3024,0.88133
41,0,45,2.6349,2349.9,-781.4,472.29,-4.2538,0.74164
42,0,45,3.73,2099.1,-782.62,408.82,-5.1214,0.56343
43,0,45,5.2802,1881.3,-692.38,325.13,-5.4131,0.37703
44,0,45,7.4747,1777.4,-560.35,250.76,-5.3207,0.24733
45,0,45,10.581,1760.5,-442.76,179.03,-5.4413,0.17698
46,0,45,14.979,1782.1,-375.1,119.66,-5.2339,0.12173
47,0,45,21.204,1817.9,-335.35,69.233,-4.8883,0.081927
48,0,45,30.017,1879.2,-330.43,27.633,-4.3688,0.053468
49,0,45,42.492,2003.3,-335.15,9.8456,-3.4948,0.03221
50,0,45,60.152,2190.6,-340.78,3.3173,-3.2854,0.023389
51,0,45,85.152,2415,-342.51,1.4054,-2.7014,0.014977
52,0,45,120.54,2665.9,-344.35,1.6787,-1.8959,0.0081966
53,0,45,170.64,2943,-345.42,4.1116,0.14519,-0.00048951
 
1,45,0,2.4156e-06,2811.4,2793.3,-4.0139,-1.5091e-05,3.4335
2,45,0,3.4196e-06,2836,2963.5,-6.5792,-3.6261e-05,5.8788
3,45,0,4.8408e-06,2858.3,3074.1,-6.2064,-6.6018e-05,7.6205
4,45,0,6.8526e-06,2885.2,3182.5,-5.0253,-0.00010788,8.8796
5,45,0,9.7006e-06,2915.5,3290.6,-3.9179,-0.00016688,9.8046
6,45,0,1.3732e-05,2944.3,3399.8,-2.6214,-0.00024991,10.475
7,45,0,1.944e-05,2982.4,3512.8,-1.7371,-0.00036673,10.999
8,45,0,2.7519e-05,3017.9,3630.6,-1.0411,-0.00053103,11.385
9,45,0,3.8956e-05,3049.9,3753.7,-0.49375,-0.00076183,11.66
10,45,0,5.5146e-05,3085.2,3882.4,0.21735,-0.001086,11.877
11,45,0,7.8066e-05,3127.9,4018.9,1.1487,-0.0015413,12.072
12,45,0,0.00011051,3172.8,4166.5,2.3182,-0.0021811,12.241
13,45,0,0.00015644,3226.5,4328.4,3.4159,-0.0030803,12.42
14,45,0,0.00022146,3279.7,4508.3,4.3899,-0.0043418,12.57
15,45,0,0.0003135,3329.1,4705.3,4.5855,-0.0061074,12.678
16,45,0,0.00044379,3376.6,4918.8,4.8925,-0.008568,12.744
17,45,0,0.00062823,3419.3,5142.7,5.0025,-0.011992,12.759
18,45,0,0.00088933,3457.5,5378.6,5.5318,-0.016753,12.732
19,45,0,0.0012589,3490.6,5627.3,6.2906,-0.023359,12.661
20,45,0,0.0017822,3517.8,5884,7.0396,-0.03248,12.533
21,45,0,0.0025229,3540.1,6144.1,7.8423,-0.044994,12.342
22,45,0,0.0035714,3551,6406.8,8.5344,-0.062037,12.058
23,45,0,0.0050557,3551.5,6661.8,8.8542,-0.085087,11.685
24,45,0,0.0071569,3541.4,6903.8,8.9511,-0.11602,11.223
25,45,0,0.010131,3519.3,7128.1,8.5781,-0.15719,10.674
26,45,0,0.014342,3455.6,7327.8,8.2094,-0.2117,9.9716
27,45,0,0.020303,3342.4,7506,8.3921,-0.28343,9.1216
28,45,0,0.028741,3254.2,7672.9,9.521,-0.37634,8.3299
29,45,0,0.040686,3202.8,7826.2,10.163,-0.49472,7.6132
30,45,0,0.057595,3150.3,7972.8,9.416,-0.64292,6.8746
31,45,0,0.081532,3091,8112.4,9.7865,-0.82475,6.1124
32,45,0,0.11542,3037.2,8260.7,12.472,-1.0364,5.3315
33,45,0,0.16339,2997.4,8396.8,11.481,-1.2694,4.5524
34,45,0,0.23129,2973.1,8490.8,12.896,-1.5138,3.804
35,45,0,0.32742,2961.4,8534,10.643,-1.7617,3.1149
36,45,0,0.4635,2954.9,8521.2,9.4412,-1.9814,2.4694
37,45,0,0.65613,2944.5,8463.4,6.8623,-2.1099,1.851
38,45,0,0.92882,2918.7,8375,4.9016,-2.0574,1.2639
39,45,0,1.3148,2863.5,8249.5,3.5795,-1.6973,0.72261
40,45,0,1.8613,2766.4,8053.6,3.8952,-0.88582,0.25737
41,45,0,2.6349,2629.7,7771.1,3.5771,0.32301,-0.06302
42,45,0,3.73,2490.4,7405.9,-1.2163,1.4541,-0.18979
43,45,0,5.2802,2427.2,6937.3,-5.1458,3.1319,-0.28144
44,45,0,7.4747,2469.9,6292.6,-5.2015,6.9511,-0.44902
45,45,0,10.581,2563.2,5486.9,-3.3648,9.3707,-0.44376
46,45,0,14.979,2664.7,4720.1,-6.578,4.0483,-0.14079
47,45,0,21.204,2761.6,4055.5,-17.703,-7.1967,0.18323
48,45,0,30.017,2821.9,3359.2,-26.283,-9.2211,0.16947
49,45,0,42.492,2819.1,2520.1,-22.546,6.2757,-0.081393
50,45,0,60.152,2830,1612.2,-18.73,22.013,-0.20245
51,45,0,85.152,2804.7,757.8,11.617,-9.0049,0.057981
52,45,0,120.54,2773.2,-338.85,-1.3428,-10.839,0.04875
53,45,0,170.64,2965,-630.58,4.0539,0.18084,-0.00061427
 
1,45,45,2.4156e-06,2809.6,4919.3,529.84,4.6526e-06,-1.0579
2,45,45,3.4196e-06,2844.6,5038.4,473.15,1.1796e-05,-1.9182
3,45,45,4.8408e-06,2865.9,5032.8,330.25,2.3311e-05,-2.6979
4,45,45,6.8526e-06,2896,5052.9,207.88,4.0139e-05,-3.3162
5,45,45,9.7006e-06,2926.9,5030.7,36.592,6.8587e-05,-4.0455
6,45,45,1.3732e-05,2959.1,5010.6,-126.81,0.00010968,-4.6203
7,45,45,1.944e-05,2996.1,4953.3,-332.97,0.00018118,-5.459
8,45,45,2.7519e-05,3031.2,4911.1,-515.66,0.00028513,-6.1398
9,45,45,3.8956e-05,3064.5,4800.5,-767.39,0.00045427,-6.9859
10,45,45,5.5146e-05,3101.5,4679.9,-1013.5,0.00070595,-7.7615
11,45,45,7.8066e-05,3144.8,4488.8,-1296.9,0.0010889,-8.5753
12,45,45,0.00011051,3193.4,4298.6,-1561,0.0016403,-9.266
13,45,45,0.00015644,3247.4,4019.8,-1851.5,0.0024357,-9.884
14,45,45,0.00022146,3302.1,3717.4,-2091.1,0.0035183,-10.255
15,45,45,0.0003135,3354.7,3380.4,-2282.9,0.0048574,-10.161
16,45,45,0.00044379,3403.9,3061.3,-2398.2,0.0064092,-9.61
17,45,45,0.00062823,3445.9,2798.6,-2434.5,0.0080737,-8.657
18,45,45,0.00088933,3479.7,2602.6,-2409.6,0.0096762,-7.4012
19,45,45,0.0012589,3505.9,2468.7,-2350.2,0.011051,-6.0162
20,45,45,0.0017822,3525,2405.7,-2266,0.012254,-4.738
21,45,45,0.0025229,3539,2383.6,-2166.5,0.013117,-3.597
22,45,45,0.0035714,3541,2386.5,-2061.2,0.013726,-2.6604
23,45,45,0.0050557,3530.5,2397.8,-1954.9,0.014731,-2.011
24,45,45,0.0071569,3508.7,2374.6,-1827.9,0.015338,-1.47
25,45,45,0.010131,3455.9,2309.9,-1677.7,0.015026,-1.002
26,45,45,0.014342,3320.9,2179.9,-1524.4,0.014507,-0.65669
27,45,45,0.020303,3177.9,1987.4,-1381.4,0.011002,-0.33665
28,45,45,0.028741,3073.8,1787.6,-1237.6,-2.1657e-05,0.00045279
29,45,45,0.040686,2971,1577.5,-1067.2,-0.026348,0.37612
30,45,45,0.057595,2874.1,1367,-866.99,-0.09007,0.87866
31,45,45,0.081532,2791.8,1198.5,-668.51,-0.19336,1.2943
32,45,45,0.11542,2727.1,1058.7,-504.04,-0.29635,1.3689
33,45,45,0.16339,2677,918.77,-395.63,-0.33883,1.0853
34,45,45,0.23129,2638.3,733.03,-284.26,-0.3701,0.82528
35,45,45,0.32742,2608.6,524.4,-152.83,-0.48248,0.75145
36,45,45,0.4635,2583.2,273.06,17.154,-0.74259,0.80906
37,45,45,0.65613,2558.9,0.42898,139.3,-0.93246,0.71093
38,45,45,0.92882,2535,-285.14,215.34,-0.76781,0.40966
39,45,45,1.3148,2507.8,-410.09,273.04,-0.81111,0.30243
40,45,45,1.8613,2468.1,-567.44,344.53,-1.1745,0.30447
41,45,45,2.6349,2409.8,-717.18,394.73,-1.5693,0.28058
42,45,45,3.73,2327.9,-841.92,418.54,-2.3929,0.29195
43,45,45,5.2802,2220.8,-894.43,435.8,-3.6201,0.29765
44,45,45,7.4747,2124.7,-820.41,379.49,-4.6306,0.25731
45,45,45,10.581,2087,-641.47,260.19,-4.8093,0.18543
46,45,45,14.979,2087.5,-493.93,159.36,-4.4813,0.12209
47,45,45,21.204,2065.5,-390.89,84.813,-4.3007,0.081894
48,45,45,30.017,2014.4,-355.81,31.152,-3.456,0.04534
49,45,45,42.492,2045.4,-344.82,6.9261,-3.1871,0.029991
50,45,45,60.152,2198.1,-341.78,1.6916,-1.9828,0.014164
51,45,45,85.152,2416.7,-344.51,2.1935,-1.7637,0.0097853
52,45,45,120.54,2666.5,-346.05,1.3979,-1.2195,0.0052737
53,45,45,170.64,2943.6,-344.75,0.98144,0.88621,-0.0029885
 
1,90,0,2.4156e-06,2337.8,9473.6,-12.707,-6.7738e-05,12.815
2,90,0,3.4196e-06,2349.3,9519,-11.304,-0.0001594,21.409
3,90,0,4.8408e-06,2355,9531.9,-11.673,-0.00028363,26.975
4,90,0,6.8526e-06,2366.8,9534.5,-8.9243,-0.00045186,30.509
5,90,0,9.7006e-06,2380.3,9533.7,-9.7917,-0.00067916,32.578
6,90,0,1.3732e-05,2394.4,9532,-9.8912,-0.00098573,33.599
7,90,0,1.944e-05,2411.6,9536,-10.759,-0.0013975,33.893
8,90,0,2.7519e-05,2433.7,9541.8,-11.264,-0.0019487,33.69
9,90,0,3.8956e-05,2454.8,9553.6,-11.853,-0.0026824,33.044
10,90,0,5.5146e-05,2478.5,9570.5,-12.177,-0.0036534,32.099
11,90,0,7.8066e-05,2501.9,9591.3,-12.178,-0.0049299,30.887
12,90,0,0.00011051,2523,9615.9,-12.231,-0.0065967,29.442
13,90,0,0.00015644,2546.3,9644.7,-12.064,-0.008757,27.863
14,90,0,0.00022146,2575.9,9676.5,-11.517,-0.011532,26.222
15,90,0,0.0003135,2602.7,9710.9,-10.935,-0.015065,24.451
16,90,0,0.00044379,2624.1,9749.7,-9.922,-0.019498,22.538
17,90,0,0.00062823,2637.7,9790.3,-9.5684,-0.024995,20.515
18,90,0,0.00088933,2641.7,9828.5,-9.1089,-0.03165,18.379
19,90,0,0.0012589,2634.1,9862.5,-8.6289,-0.039501,16.157
20,90,0,0.0017822,2567.1,9879.7,-7.8736,-0.04846,13.646
21,90,0,0.0025229,2315.9,9864.5,-7.2731,-0.058651,10.525
22,90,0,0.0035714,2129.8,9810.1,-7.1355,-0.070577,8.228
23,90,0,0.0050557,2051.6,9724.9,-6.419,-0.085119,6.7525
24,90,0,0.0071569,2003.3,9624.8,-6.5766,-0.10344,5.6605
25,90,0,0.010131,1982.8,9522.5,-5.969,-0.1274,4.8742
26,90,0,0.014342,1975.2,9429.6,-6.0725,-0.15825,4.2607
27,90,0,0.020303,1975.2,9350.4,-6.6574,-0.1966,3.739
28,90,0,0.028741,1980.3,9277.7,-6.4501,-0.24403,3.2869
29,90,0,0.040686,1989.8,9211.3,-7.2875,-0.30174,2.8848
30,90,0,0.057595,2007,9156,-7.8912,-0.37045,2.5236
31,90,0,0.081532,2034.2,9110.7,-6.6152,-0.4501,2.1953
32,90,0,0.11542,2070.1,9066.2,-6.2981,-0.5337,1.8712
33,90,0,0.16339,2114.4,9003.7,-7.428,-0.61554,1.5572
34,90,0,0.23129,2167.3,8916.2,-8.458,-0.6902,1.2643
35,90,0,0.32742,2228.2,8804.1,-12.524,-0.75433,1.0036
36,90,0,0.4635,2297.8,8659.5,-15.703,-0.78775,0.76344
37,90,0,0.65613,2377,8493.3,-19.595,-0.74779,0.5296
38,90,0,0.92882,2464.4,8316.7,-22.242,-0.54666,0.28355
39,90,0,1.3148,2552.2,8124,-22.412,-0.022124,0.0083953
40,90,0,1.8613,2623.2,7898.2,-18.635,1.0059,-0.27713
41,90,0,2.6349,2645.3,7645.2,-10.438,2.6714,-0.5243
42,90,0,3.73,2599.7,7362.7,-3.9715,4.6407,-0.63229
43,90,0,5.2802,2530.9,6975.7,2.2293,6.6879,-0.62666
44,90,0,7.4747,2519.7,6379.7,7.6098,7.606,-0.50123
45,90,0,10.581,2581.5,5589.2,8.3842,5.3231,-0.25388
46,90,0,14.979,2666.8,4751.4,0.29578,1.1159,-0.038838
47,90,0,21.204,2741.9,3967.6,-8.8144,1.2225,-0.030903
48,90,0,30.017,2800.3,3221.1,-9.8296,7.6031,-0.13866
49,90,0,42.492,2868.2,2589.6,-1.1518,25.202,-0.33254
50,90,0,60.152,2894.9,1800.9,22.105,-2.9382,0.027643
51,90,0,85.152,2806.2,752,16.735,1.2878,-0.0082964
52,90,0,120.54,2791.9,-177.99,-5.4271,4.5072,-0.020408
53,90,0,170.64,2966.2,-678.6,4.7948,0.19359,-0.00065784
 
1,90,45,2.4156e-06,2262.6,8053,-7949.7,-7.3506e-05,13.46
2,90,45,3.4196e-06,2272.7,7878.6,-7915.3,-0.00017456,22.68
3,90,45,4.8408e-06,2276.2,7689.5,-7846.1,-0.00031519,28.972
4,90,45,6.8526e-06,2287.2,7574.9,-7771.1,-0.00050495,32.947
5,90,45,9.7006e-06,2297.2,7444.5,-7683.5,-0.00076272,35.31
6,90,45,1.3732e-05,2308.6,7335,-7604.6,-0.0011102,36.486
7,90,45,1.944e-05,2322.2,7231.3,-7514.1,-0.0015765,36.816
8,90,45,2.7519e-05,2339.6,7139.2,-7430.1,-0.0021997,36.559
9,90,45,3.8956e-05,2354.6,7050.8,-7341.7,-0.003026,35.755
10,90,45,5.5146e-05,2371.7,6967.7,-7258.2,-0.0041096,34.551
11,90,45,7.8066e-05,2394.6,6883.5,-7175.5,-0.0055138,33.063
12,90,45,0.00011051,2411.5,6794.8,-7100.4,-0.0072991,31.136
13,90,45,0.00015644,2426.1,6699.3,-7027,-0.0095267,28.882
14,90,45,0.00022146,2445.4,6591.4,-6961.2,-0.012255,26.455
15,90,45,0.0003135,2461.2,6470.9,-6888.7,-0.015542,23.853
16,90,45,0.00044379,2468.1,6344.4,-6799.4,-0.019402,21.094
17,90,45,0.00062823,2472.1,6215.5,-6677.1,-0.023702,18.233
18,90,45,0.00088933,2457,6071.2,-6523.8,-0.027987,15.115
19,90,45,0.0012589,2333.9,5880.6,-6343.4,-0.031402,11.38
20,90,45,0.0017822,2060.7,5613.4,-6147.6,-0.033039,7.4681
21,90,45,0.0025229,1904.7,5268,-5943,-0.031956,4.7164
22,90,45,0.0035714,1818.5,4846.9,-5738.4,-0.026063,2.5943
23,90,45,0.0050557,1756.8,4362.2,-5547.2,-0.010507,0.71371
24,90,45,0.0071569,1712.8,3817.9,-5376.6,0.025891,-1.2113
25,90,45,0.010131,1674.8,3254.3,-5226.8,0.095214,-3.0769
26,90,45,0.014342,1643,2700.7,-5094.1,0.2197,-4.9202
27,90,45,0.020303,1622.2,2195.6,-4985.6,0.4169,-6.5118
28,90,45,0.028741,1604.9,1674.4,-4874.9,0.7015,-7.6575
29,90,45,0.040686,1589.9,1194.9,-4715.3,1.1042,-8.4352
30,90,45,0.057595,1575,665.7,-4607,1.6732,-8.9451
31,90,45,0.081532,1562.4,108.92,-4371.3,2.4113,-9.0331
32,90,45,0.11542,1551.8,-410.05,-4090.9,3.4269,-9.0068
